format	fm-lint-telemetry-v1
git_head	unavailable
content_cksum	63130192-4841
shellcheck_version	0.11.0
analysis_mode	full
partition	2of4
jobs	1
root_count	103
direct_lines	70008
direct_bytes	3471063
source_directives	186
source_boundary_directives	26
source_followed_directives	160
source_target_count	46
shard_1_weight_bytes	1735355
shard_2_weight_bytes	1735708
wall_seconds	260
worker_wall_sum_seconds	259.11
max_worker_wall_seconds	150.39
user_seconds	247.66
system_seconds	10.62
max_worker_rss_kib	6216196
worker_rss_sum_kib	9885952
shellcheck_processes_start	0
shellcheck_processes_end	3
load_average_start	3.73/7.45/4.88
load_average_end	6.01/6.80/5.21
aggregate_cpu_percent_start	57.40
aggregate_cpu_percent_end	355.00
result_exit	0
