format	fm-lint-telemetry-v1
git_head	unavailable
content_cksum	3846670506-9672
shellcheck_version	0.11.0
analysis_mode	full
partition	2of2
jobs	2
root_count	207
direct_lines	143034
direct_bytes	6940930
source_directives	363
source_boundary_directives	54
source_followed_directives	309
source_target_count	62
shard_1_weight_bytes	3470388
shard_2_weight_bytes	3470542
wall_seconds	373
worker_wall_sum_seconds	567.99
max_worker_wall_seconds	373.59
user_seconds	546.37
system_seconds	22.41
max_worker_rss_kib	8461200
worker_rss_sum_kib	12208036
shellcheck_processes_start	0
shellcheck_processes_end	1
load_average_start	3.91/6.04/5.06
load_average_end	3.24/4.59/4.76
aggregate_cpu_percent_start	50.10
aggregate_cpu_percent_end	142.60
result_exit	0
