format	fm-lint-telemetry-v1
git_head	unavailable
content_cksum	3663302405-5015
shellcheck_version	0.11.0
analysis_mode	full
partition	1of4
jobs	1
root_count	104
direct_lines	72757
direct_bytes	3471180
source_directives	202
source_boundary_directives	44
source_followed_directives	158
source_target_count	43
shard_1_weight_bytes	1735513
shard_2_weight_bytes	1735667
wall_seconds	317
worker_wall_sum_seconds	316.66
max_worker_wall_seconds	158.73
user_seconds	304.29
system_seconds	13.00
max_worker_rss_kib	7241468
worker_rss_sum_kib	12707740
shellcheck_processes_start	0
shellcheck_processes_end	1
load_average_start	3.73/7.45/4.88
load_average_end	4.58/6.26/5.12
aggregate_cpu_percent_start	57.10
aggregate_cpu_percent_end	138.00
result_exit	0
